x,y
4.887738807355261450e+00,6.466687309585931409e+00
6.569385454550898729e+00,6.022989848138478486e+00
4.553790120076957493e+00,4.453117439687225954e+00
5.070995735492037859e+00,6.239254697867568922e+00
3.662831102111180570e+00,4.752127038342599974e+00
5.586178848568241762e+00,5.408881072468795459e+00
7.244861678210941847e+00,7.066125223013314027e+00
5.485105988779024777e+00,4.884135633822609179e+00
5.939702730025791411e+00,5.833729968702768609e+00
6.657379864654186186e+00,7.776172602572636094e+00
3.751248339930398856e+00,4.611380631767898031e+00
4.298567435465792563e+00,8.046986086892596646e+00
4.898329980000287520e+00,5.278225367112823641e+00
5.160619503654938711e+00,6.864423941804814966e+00
5.053525807908564538e+00,6.533017001809205304e+00
4.221468448837171650e+00,6.762715712004025548e+00
3.733368583450392908e+00,6.254651646487904948e+00
4.851809959052203247e+00,4.992671214219413400e+00
4.222842337798915047e+00,6.069895643149610720e+00
5.911669220629222288e+00,4.234294769758852439e+00
7.356377193126087732e+00,5.583523684793155972e+00
6.095802334752447038e+00,4.988809122307976018e+00
5.632442106486078792e+00,6.307798753977527539e+00
5.967449655040437229e+00,5.281184819394951546e+00
3.372908382972000574e+00,5.323915922779547394e+00
3.683414398725961547e+00,8.004816217412706436e+00
4.107542842315555554e+00,6.769262531085344037e+00
4.897046639601651208e+00,6.012707767096384437e+00
4.389622858131430938e+00,4.152188700566995294e+00
6.038643661036317667e+00,4.892132187511189834e+00
5.995841854796837289e+00,6.085546627925228158e+00
4.024403632057500957e+00,6.578437419046855972e+00
5.245104113327160533e+00,3.637820373002841556e+00
6.920356991556245951e+00,6.609303731066934695e+00
5.706461405495723227e+00,6.364125291773857995e+00
4.831565205378352879e+00,7.746386331589738106e+00
6.730800018942043828e+00,4.593523712380751078e+00
2.617738351440308975e+00,5.905434974901942802e+00
3.471997628072703623e+00,4.497695935665246836e+00
5.067166450440478087e+00,5.460706273644678532e+00
7.150222421124753147e+00,5.488078587300737610e+00
4.951719705870226029e+00,5.919658529009319103e+00
5.625911887903077613e+00,6.799592095949916093e+00
4.958311014169932918e+00,5.187110559884304806e+00
5.353397156400287571e+00,6.493308448554962808e+00
6.170842096254399500e+00,3.832752866657710644e+00
5.553099407143033517e+00,8.262374031893592985e+00
5.241776477205374540e+00,6.719909977558608638e+00
5.311321360450683926e+00,5.916803694429443539e+00
4.682883878719939830e+00,5.843395558930825295e+00
3.979433202299104355e+00,5.202233031926456697e+00
5.960714673175043998e+00,4.721439439657462600e+00
7.007533445313775644e+00,5.817978392327835202e+00
4.558671070622043686e+00,5.443695178261893197e+00
5.345117544728949177e+00,5.585985381497798663e+00
4.894545127316431987e+00,5.497257142302386157e+00
4.112526112269335954e+00,8.599411449409153363e+00
7.264298804946696109e+00,6.558084742496696151e+00
4.613184240346213549e+00,5.261187675427314581e+00
3.306578303821033682e+00,6.520734692321033421e+00
7.907712155340127502e+00,6.953721538439806338e+00
4.864812949932828978e+00,5.494082279142026515e+00
3.944277672766996812e+00,5.843180222367759136e+00
8.405090695995475869e+00,5.936794334954042185e+00
4.542169785474424515e+00,5.807418719455259115e+00
4.415441622792897647e+00,5.465881142418469452e+00
5.956042397792706389e+00,3.854872966860381833e+00
1.016725080431523320e+00,2.840492947037351890e+00
4.470374604207232316e+00,5.621401926016829975e+00
4.984827805010223933e+00,5.742150089165491522e+00
4.318612746426751414e+00,4.760173144048646776e+00
3.820362394003826267e+00,5.790841831366815740e+00
5.427144154964647527e+00,6.962899679350261550e+00
4.710276077448052767e+00,6.302227426063739202e+00
3.738065639000332396e+00,5.612462324489039034e+00
5.629451934595846474e+00,4.800864730502773625e+00
2.352155658815156425e+00,4.163895690632938518e+00
2.706277916618052615e+00,6.810050992033469086e+00
5.163894508666226457e+00,6.623518982718177739e+00
5.037850374162205824e+00,6.907434139870690437e+00
6.951503511615251263e+00,5.238803906654355025e+00
8.479125619490098131e+00,6.022443597038536822e+00
3.925996274951826681e+00,4.733036989394481253e+00
4.741331680852300501e+00,7.478546945491576281e+00
5.907775256028586774e+00,6.022870285799831969e+00
6.037948133054974242e+00,6.132124567913495916e+00
7.139796483200958832e+00,7.714838816762828344e+00
3.257322638012260185e+00,4.810871217309064640e+00
3.240830420413701063e+00,6.022688375192588595e+00
7.935643457303612536e+00,6.901271042445026538e+00
3.016490050427490743e+00,6.226695164055763954e+00
4.797801920688114841e+00,4.850881921984763423e+00
3.481099086600339731e+00,5.588286309332647583e+00
4.685131195192145270e+00,5.567585440005991870e+00
5.666745047241390054e+00,6.602124841555682799e+00
4.268644222122204290e+00,6.421098343066656611e+00
5.879812055154106432e+00,6.145980503913761162e+00
4.022572003331393198e+00,8.748712369845717873e+00
2.825842712277166324e+00,4.986251214535317722e+00
8.018543079799897555e+00,6.717461347933504356e+00
4.405986088126772060e+00,8.944487909241020773e+00
2.742350041562186647e+00,7.109277449104332014e+00
4.711310972486671744e+00,5.573035132525838264e+00
4.320864436039198786e+00,6.757724962927802892e+00
6.428629774538626052e+00,6.096866483566770079e+00
1.543918220570025923e+00,4.220275255694986960e+00
7.204802848151736328e+00,5.343317490990663998e+00
5.101146522661816896e+00,6.001131728890952033e+00
4.532193083001073930e+00,4.934124894049517707e+00
4.838997114907212627e+00,6.846123600169535806e+00
4.059684486731256925e+00,5.490567172525331330e+00
2.737838362606094922e+00,7.300273281449062068e+00
5.611079426068621423e+00,7.575135456879705131e+00
6.325083159641578412e+00,5.620463469215899899e+00
5.271355353238514674e+00,7.604881600316545587e+00
6.714207845166772159e+00,5.104618600521754423e+00
5.365322655922193817e+00,5.258739509280416335e+00
4.078491100529697100e+00,6.439516227567559703e+00
4.365959065257840166e+00,6.831619953770978526e+00
5.526298073555817147e+00,5.454379669003563080e+00
4.424331634256727597e+00,3.786280333333865933e+00
8.176594539380580784e+00,8.329017681430581632e+00
3.519440825381464855e+00,6.280606273468652745e+00
5.226980417079007957e+00,6.020809286542972316e+00
4.492553610628002403e+00,6.644057032605254598e+00
6.234988311959551055e+00,7.891030445555472284e+00
5.511874777329015984e+00,7.225328992629359348e+00
4.469758133722779192e+00,7.258021504897847365e+00
4.097650097847630235e+00,4.685183643499322592e+00
5.332349362701703122e+00,6.104992633075224440e+00
7.804924531621669992e+00,7.115659594070804950e+00
2.761212658222155003e+00,5.888003355239709968e+00
7.848342230519429030e+00,6.175918412144923764e+00
5.298633453714979069e+00,6.468287176872712152e+00
4.053481412844623044e+00,5.091571764886566598e+00
7.453246301229732751e+00,6.220551049716377179e+00
3.489426237855129731e+00,5.457218649908839758e+00
7.185803529360856423e+00,4.237035766664565273e+00
3.668738022786806052e+00,4.121154130213303901e+00
6.916463580401418731e+00,4.802525416008695203e+00
3.821361586435237268e+00,5.585662661027574138e+00
5.018827489944157172e+00,4.646337424991115128e+00
4.060106767226728586e+00,7.022700137335550430e+00
4.428002567626196040e+00,5.653104393666336769e+00
5.487013492442780915e+00,6.915988920702448972e+00
5.170718233031511346e+00,6.135227736310056024e+00
4.682868600053329722e+00,5.461204524739568633e+00
8.424228428639683131e+00,5.389778018339123733e+00
5.079285988422181042e+00,5.516280713787740098e+00
4.858393293038972161e+00,7.688451422469745999e+00
8.262257106059623268e+00,5.521993155388502217e+00
6.467607941017099016e+00,6.026429802844065264e+00
1.013017905129668250e+01,5.545052776144721918e+00
8.373533285518915292e+00,6.628814388654747702e+00
8.990218207788378990e+00,7.671174379592928361e+00
8.025606281713605128e+00,5.929548979614176041e+00
7.044865365859361184e+00,4.035279050914253318e+00
9.030189094492634183e+00,4.731551928492601533e+00
7.857748014032465811e+00,7.356734384954888739e+00
7.624061298391457520e+00,5.635789251876270001e+00
1.033375157733980032e+01,5.900106445377466535e+00
8.395814987088080272e+00,6.214850693046613195e+00
9.095276669495913069e+00,4.240902354479763936e+00
9.333971812590915462e+00,5.523765074898354221e+00
7.887580969339155423e+00,6.548224090822881038e+00
7.127149385747868493e+00,6.649261547494972113e+00
8.548262301045886247e+00,8.111978795143707899e+00
6.680186160453553512e+00,5.478894627963711628e+00
8.061603875906087069e+00,6.201697812515146957e+00
6.898152755451091522e+00,5.266188827272193507e+00
7.087408589391953839e+00,5.429972772791451519e+00
8.675632842287788193e+00,7.885320224864120320e+00
7.920798651925600176e+00,5.254094651105997826e+00
8.627044902028597306e+00,4.980477757019579066e+00
9.329658945136225512e+00,6.331577700085144755e+00
9.387007527552277963e+00,7.662942582124554924e+00
6.057864675935695331e+00,5.958882918556366093e+00
8.471584094490426153e+00,6.293381571027681254e+00
7.169604874037644571e+00,4.660325444955984331e+00
8.360751255541210014e+00,4.734473183990854928e+00
7.069648835703046252e+00,6.016815293472830284e+00
8.335635293808397961e+00,5.337456979553591552e+00
5.497934269304559862e+00,6.233306711026370905e+00
9.220847286823239841e+00,6.094218236150306112e+00
8.328882440936283160e+00,7.915284204600773421e+00
8.542516890401280705e+00,5.814251569684310894e+00
8.886085220961373210e+00,5.708633171641081638e+00
8.734828169897401295e+00,7.930678840440014810e+00
8.080930007371124546e+00,4.078509184087494077e+00
7.994364094603316317e+00,5.269233016608819042e+00
7.188799908857947507e+00,5.743385571959724878e+00
9.183701013844213890e+00,6.323454550895250215e+00
8.285562041121828258e+00,5.747060052930865304e+00
1.048656613818539185e+01,4.335119140877933930e+00
1.021948424397236366e+01,6.092117711355394150e+00
7.144844381474453776e+00,6.582818868532164913e+00
7.696110925553409032e+00,6.353655896076802811e+00
8.883154645914688174e+00,6.429420269935242516e+00
7.789020911722039919e+00,5.825973790957846177e+00
7.960468065387832581e+00,7.896287490281332033e+00
7.612266608680173796e+00,4.664449520767815827e+00
7.263015020697931590e+00,6.933317682439288809e+00
7.774401229190146090e+00,8.112750562752744088e+00
6.754863551743568451e+00,4.984238120245677806e+00
8.798649755408863626e+00,6.548905577869026828e+00
8.819827016127861796e+00,5.198472536900650809e+00
7.971669705266120509e+00,6.050180733540543088e+00
8.090013269855887756e+00,4.651460188376672633e+00
1.011081661666747955e+01,6.758582770353163127e+00
6.969693457552611271e+00,6.792992284836873118e+00
8.469344711068723441e+00,7.679665332531674160e+00
8.997322625020252929e+00,6.235035761901084328e+00
6.126563202632761218e+00,6.853859158778504934e+00
9.315112854596758751e+00,6.002324365200917278e+00
5.900370611556253309e+00,5.679062416197583119e+00
6.974181961304647182e+00,4.982723121414139200e+00
6.801193601623532814e+00,5.822501531972727129e+00
8.693885606646201580e+00,5.964259513012827085e+00
9.530949419653961030e+00,6.610528668017539466e+00
9.452256181642656685e+00,5.689297489264392382e+00
8.971023370523770524e+00,5.582958617380104904e+00
7.466352773854898039e+00,6.962635704939816428e+00
6.833923352889099689e+00,6.924827490343790082e+00
9.201597692649395199e+00,5.339015771650347020e+00
6.861346395064181536e+00,6.250027153285321546e+00
9.622543833235136290e+00,5.411899181325361852e+00
7.803920586180271179e+00,7.572103072535088408e+00
7.819602214460589451e+00,8.362046462660110535e+00
5.631313709550643587e+00,5.730932347096544532e+00
5.516449972839980731e+00,5.961140614511014846e+00
7.372275970573719306e+00,4.686970049169778108e+00
7.540894959021121835e+00,5.018673805146600664e+00
8.866907870990136331e+00,4.476768813460486385e+00
9.575196750995090156e+00,6.741802693250161127e+00
7.594008911368081982e+00,7.432652890256554734e+00
5.578683252953005933e+00,4.554742121828457613e+00
7.347890833711404390e+00,6.096967509233111038e+00
8.251173190592091089e+00,6.877433554492588641e+00
6.128864224774748237e+00,6.512142914414170924e+00
7.731707702192255560e+00,6.895106304797298691e+00
6.303313243656023523e+00,5.980059653200119563e+00
7.990046871545938068e+00,4.368024378947946929e+00
9.011491137880303981e+00,6.506558353948761919e+00
7.226146851878361588e+00,5.885470446194700500e+00
7.924140373853530761e+00,5.777373326403377085e+00
7.442178599987766319e+00,6.598593838344183560e+00
7.531884189357396231e+00,6.932524185512014547e+00
8.583358822320086290e+00,6.491429897714673380e+00
7.991657972191558379e+00,5.344004004920466677e+00
7.783260394249617242e+00,8.256738674869232852e+00
6.860802929827186425e+00,4.711723184408242560e+00
8.521176568677477192e+00,7.221477127183389300e+00
9.887376475733562486e+00,4.481766257566374811e+00
8.124476912054410249e+00,6.321872826504307596e+00
8.346356421227557831e+00,5.238812971337279301e+00
8.707999743789422098e+00,5.848382087420366027e+00
8.588968375824739709e+00,6.276325691379593508e+00
7.450322823266244399e+00,5.453456113933997429e+00
7.462342635264832325e+00,6.812003485490767396e+00
8.297256397395369021e+00,7.987925493458950754e+00
7.139596473528341036e+00,4.699209279638788317e+00
8.250747511396072653e+00,5.169019923982325793e+00
7.772450670203373768e+00,4.314960000659796791e+00
7.015807026631951437e+00,6.412471062705084712e+00
6.950067662202018326e+00,6.851865546536626717e+00
7.945582888755567730e+00,6.202684959485871730e+00
7.491796762058972270e+00,7.064377619894825600e+00
8.710606488982607587e+00,4.467773681339922476e+00
8.176533028233750500e+00,6.507419180750548371e+00
9.471320905304439819e+00,6.971258302835862786e+00
7.679677220140954219e+00,7.104481606473513899e+00
5.631319767383806685e+00,6.556281982716993362e+00
7.794315616439805083e+00,5.415889723974017578e+00
8.344118924307448282e+00,6.771157745522906168e+00
5.971014324713236121e+00,7.298026504333130049e+00
8.200321016049564093e+00,7.337797122211986434e+00
7.564226985414735260e+00,4.797925894363075372e+00
8.806651065359723418e+00,6.046064439914336397e+00
8.270376778294318498e+00,6.476914540046281310e+00
9.078273235409563213e+00,6.831907782222326198e+00
8.012433577452245714e+00,6.535681545146863947e+00
5.683117574687772233e+00,5.920751437245013626e+00
8.262075554968053126e+00,5.718081118201682855e+00
8.449710166073860051e+00,6.361735349660054162e+00
7.104207554621632781e+00,4.545845604598277134e+00
7.682548156751161983e+00,5.779397031483866520e+00
7.821044408499465028e+00,5.966166537317080021e+00
9.329558556247038226e+00,6.965114690959774535e+00
4.740067420274252541e+00,5.987735103524579827e+00
5.368885332042117042e+00,5.954239656641039602e+00
7.249618879927493431e+00,6.816907500222176175e+00
5.530770791449981516e+00,6.489247395857624667e+00
8.175592673161084178e+00,5.925360684016793833e+00
7.473287602088055870e+00,3.714079613785537415e+00
6.285698510929055516e+00,7.443500642836800019e+00
8.667567659048319939e+00,4.886096281448461198e+00
7.209082269909315777e+00,4.656773668341208428e+00
8.166609203548205187e+00,7.697774645835453455e+00
7.831803696621705058e+00,7.325436995744432522e+00
1.049413038287707245e+01,6.054930767433659433e+00
6.875231604555549048e+00,1.104582640860528286e+01
5.350372061730588769e+00,1.207490706996158814e+01
1.954217344236031995e+00,9.199655389009599560e+00
5.349393969300832552e+00,1.080057438191055041e+01
3.254124143588353668e+00,1.149292946408651872e+01
3.268217192409086813e+00,9.584119432116889215e+00
4.517525059366109375e+00,1.161186485400602741e+01
5.110525704306867034e+00,1.082158933197392159e+01
5.146843508533765821e+00,1.003420733623222816e+01
6.964060740499260937e+00,1.202206786532347138e+01
